letter_id,sample_date,batch_number,source_filename
ARS-CMX-L003,2026-03-04,53475986,021339_ARS-CMX-L003_BATCH_2026-03-04_53475986.pdf
ARS-CMX-L004,2026-03-04,53475987,021431_ARS-CMX-L004_BATCH_2026-03-04_53475987.pdf
ARS-CNS-L001,2026-03-04,53475985,021201_ARS-CNS-L001_BATCH_2026-03-04_53475985.pdf
ARS-CNS-L004,2026-03-04,53475988,071114_ARS-CNS-L004_BATCH_2026-03-04_53475988.pdf
ARS-CST-L005,2026-03-04,53475980,033058_ARS-CST-L005_BATCH_2026-03-04_53475980.pdf
ARS-CST-L006,2026-03-04,53475990,022031_ARS-CST-L006_BATCH_2026-03-04_53475990.pdf
ARS-CST-L007,2026-03-04,53475982,020531_ARS-CST-L007_BATCH_2026-03-04_53475982.pdf
ARS-CST-L008,2026-03-04,53475983,020709_ARS-CST-L008_BATCH_2026-03-04_53475983.pdf
ARS-CST-L009,2026-03-04,53475984,020809_ARS-CST-L009_BATCH_2026-03-04_53475984.pdf
ARS-CST-L010,2026-03-04,53475981,020409_ARS-CST-L010_BATCH_2026-03-04_53475981.pdf
ARS-CST-L011,2026-03-04,53475992,022539_ARS-CST-L011_BATCH_2026-03-04_53475992.pdf
ARS-CST-L012,2025-11-20,53317170,022046_ARS-CST-L012_BATCH_2025-11-20_53317170.pdf
ARS-GEN-L022,2026-03-04,53475979,020109_ARS-GEN-L022_BATCH_2026-03-04_53475979.pdf
ARS-MQP-L021,2026-03-04,53475991,022239_ARS-MQP-L021_BATCH_2026-03-04_53475991.pdf
ARS-SFR-L013,2026-03-04,53475989,021801_ARS-SFR-L013_BATCH_2026-03-04_53475989.pdf
ARS-SFR-L014,2026-03-04,53475998,024209_ARS-SFR-L014_BATCH_2026-03-04_53475998.pdf
ARS-SFR-L015,2026-03-04,53475996,023802_ARS-SFR-L015_BATCH_2026-03-04_53475996.pdf
ARS-SFR-L019,2026-03-04,53475995,070849_ARS-SFR-L019_BATCH_2026-03-04_53475995.pdf
CAR-EPS-L001,2015-08-09,51040391,CAR-EPS-L001_BATCH_2015-08-09_51040391.pdf
CAR-EPS-L003,2020-06-01,52515939,CAR-EPS-L003_BATCH_2020-06-01_52515939.pdf
CAR-EPS-L004,2022-01-26,52994198,CAR-EPS-L004_BATCH_2022-01-26_52994198.pdf
CAR-EPS-L005,2021-07-29,52887030,CAR-EPS-L005_BATCH_2021-07-29_52887030.pdf
MEM-ELG-L001,2020-09-25,52583605,055121_MEM-ELG-L001_BATCH_2020-09-25_52583605.pdf
MEM-SUP-L001,2025-01-21,53105806,080030_MEM-SUP-L001_BATCH_2025-01-21_53105806.pdf
OPR-PAY-L001,2020-11-30,52671522,034433_OPR-PAY-L001_BATCH_2020-11-30_52671522.pdf
OPR-PAY-L002,2020-11-30,52999620,072456_OPR-PAY-L002_BATCH_2020-11-30_52999620.pdf
OPR-TPL-LA01,2020-09-01,52999589,035005_OPR-TPL-LA01_BATCH_2020-09-01_52999589.pdf
OPR-TPL-LA02,2020-09-01,52999612,083200_OPR-TPL-LA02_BATCH_2020-09-01_52999612.pdf
OPR-TPL-LA03,2020-09-01,52999614,083211_OPR-TPL-LA03_BATCH_2020-09-01_52999614.pdf
OPR-TPL-LA04,2025-07-29,53315970,083223_OPR-TPL-LA04_BATCH_2025-07-29_53315970.pdf
OPR-TPL-LA05,2025-06-13,53272571,083233_OPR-TPL-LA05_BATCH_2025-06-13_53272571.pdf
OPR-TPL-LA06,2025-07-29,53315971,083244_OPR-TPL-LA06_BATCH_2025-07-29_53315971.pdf
OPR-TPL-LA07,2018-05-29,51892388,083256_OPR-TPL-LA07_BATCH_2018-05-29_51892388.pdf
OPR-TPL-LA08,2026-01-12,53475564,080533_OPR-TPL-LA08_BATCH_2026-01-12_53475564.pdf
OPR-TPL-LA10,2014-10-30,50839089,055441_OPR-TPL-LA10_BATCH_2014-10-30_50839089.pdf
OPR-TPL-LA12,2023-01-10,52999555,083332_OPR-TPL-LA12_BATCH_2023-01-10_52999555.pdf
OPR-TPL-LA13,2023-01-10,52999559,083344_OPR-TPL-LA13_BATCH_2023-01-10_52999559.pdf
OPR-TPL-LA14,2023-01-10,52999575,083356_OPR-TPL-LA14_BATCH_2023-01-10_52999575.pdf
OPR-TPL-LA16,2023-01-10,52999581,083407_OPR-TPL-LA16_BATCH_2023-01-10_52999581.pdf
OPR-TPL-LB01,2022-09-07,53300664,034724_OPR-TPL-LB01_BATCH_2022-09-07_53300664.pdf
OPR-TPL-LB02,2022-09-07,53300665,094124_OPR-TPL-LB02_BATCH_2022-09-07_53300665.pdf
OPR-TPL-LB03,2022-09-07,53300663,094138_OPR-TPL-LB03_BATCH_2022-09-07_53300663.pdf
OPR-TPL-LB06,2021-09-14,52583833,034846_OPR-TPL-LB06_BATCH_2021-09-14_52583833.pdf
OPR-TPL-LB07,2021-09-14,52583836,061000_OPR-TPL-LB07_BATCH_2021-09-14_52583836.pdf
OPR-TPL-LB08,2021-09-14,52583833,092922_OPR-TPL-LB08_BATCH_2021-09-14_52583833.pdf
OPR-TPL-LE02,2023-01-10,52999606,083516_OPR-TPL-LE02_BATCH_2023-01-10_52999606.pdf
OPR-TPL-LE03,2023-01-11,52999617,083526_OPR-TPL-LE03_BATCH_2023-01-11_52999617.pdf
OPR-TPL-LE04,2023-01-11,52999691,083537_OPR-TPL-LE04_BATCH_2023-01-11_52999691.pdf
OPR-TPL-LE05,2023-01-11,52999657,083548_OPR-TPL-LE05_BATCH_2023-01-11_52999657.pdf
OPR-TPL-LE06,2023-01-11,52999658,083558_OPR-TPL-LE06_BATCH_2023-01-11_52999658.pdf
OPR-TPL-LE07,2023-01-12,52999659,083609_OPR-TPL-LE07_BATCH_2023-01-12_52999659.pdf
OPR-TPL-LE08,2014-02-13,52999854,083622_OPR-TPL-LE08_BATCH_2014-02-13_52999854.pdf
OPR-TPL-LE09,2023-01-16,52999878,083635_OPR-TPL-LE09_BATCH_2023-01-16_52999878.pdf
OPR-TPL-LE11,2023-01-11,52999672,083646_OPR-TPL-LE11_BATCH_2023-01-11_52999672.pdf
OPR-TPL-LE12,2023-01-11,52999675,083658_OPR-TPL-LE12_BATCH_2023-01-11_52999675.pdf
